horizon,Persistence,ANN_Direct,ANN_MultiOutput,RF_Direct,RF_MultiOutput,LSTM_Direct,LSTM_MultiOutput,Avg_Direct,Avg_MultiOutput,Stack_Direct,Stack_MultiOutput
1,0.4756,0.8431,0.8388,0.7226,0.6794,0.6365,0.7198,0.8186,0.7978,0.823,0.7965
2,0.1511,0.7789,0.8091,0.6769,0.6345,0.7797,0.6788,0.7558,0.7531,0.7795,0.666
3,0.0596,0.7006,0.7626,0.4818,0.5953,0.6877,0.6845,0.7056,0.6965,0.7314,0.6669
4,-0.1536,0.7485,0.7485,0.4821,0.4821,0.6457,0.6801,0.7428,0.7403,0.692,0.6226
5,-0.326,0.584,0.6237,0.4524,0.4524,0.5741,0.6104,0.6681,0.6331,0.6604,0.4951
6,-0.4135,0.5782,0.7514,0.519,0.4797,0.5783,0.5852,0.7029,0.6297,0.7295,0.5474
7,-0.4859,0.5859,0.6278,0.4465,0.4465,0.5849,0.4303,0.6238,0.5471,0.599,0.4992
